type_1,attack,defense,hp
Dragon,112.125,86.375,83.3125
Fighting,96.77777777777777,65.92592592592592,69.85185185185185
Ground,95.75,84.84375,73.78125
Rock,92.86363636363636,100.79545454545455,65.36363636363636
Steel,92.70370370370371,126.37037037037037,65.22222222222223
Dark,88.38709677419355,70.2258064516129,66.80645161290323
Fire,84.76923076923077,67.76923076923077,69.90384615384616
Flying,78.75,66.25,70.75
Poison,74.67857142857143,68.82142857142857,67.25
Water,74.15178571428571,72.94642857142857,72.0625
Ghost,73.78125,81.1875,64.4375
Normal,73.46938775510205,59.8469387755102,77.27551020408163
Grass,73.21428571428571,70.8,67.27142857142857
Ice,72.75,71.41666666666667,72.0
Psychic,71.45614035087719,67.6842105263158,70.63157894736842
Bug,70.97101449275362,70.72463768115942,56.88405797101449
Electric,69.0909090909091,66.29545454545455,59.79545454545455
Fairy,61.529411764705884,65.70588235294117,74.11764705882354
